DATA_OSS;pf.ts
28/02/2008;9.407143116
31/03/2008;9.392753576
30/04/2008;9.406365361
31/05/2008;9.397827751
30/06/2008;9.392190275
31/07/2008;9.387745335
31/08/2008;9.390725029
30/09/2008;9.347800226
31/10/2008;9.379432464
30/11/2008;9.388363255
31/12/2008;9.358366923
31/01/2009;9.467684324
28/02/2009;9.465075752
31/03/2009;9.46375104
30/04/2009;9.497621232
31/05/2009;9.506713188
30/06/2009;9.497163422
31/07/2009;9.500692306
31/08/2009;9.510442441
30/09/2009;9.507232226
31/10/2009;9.533942794
30/11/2009;9.532756775
31/12/2009;9.550006091
31/01/2010;9.576418684
28/02/2010;9.571803757
31/03/2010;9.581601542
30/04/2010;9.575536141
31/05/2010;9.523020323
30/06/2010;9.54416547
31/07/2010;9.537821859
31/08/2010;9.545900167
30/09/2010;9.533024992
31/10/2010;9.524418913
30/11/2010;9.532372184
31/12/2010;9.537082154
31/01/2011;9.543445076
28/02/2011;9.538872325
31/03/2011;9.514635664
30/04/2011;9.518981134
31/05/2011;9.496794639
30/06/2011;9.489072637
31/07/2011;9.481909066
31/08/2011;9.497954301
30/09/2011;9.495894078
31/10/2011;9.509761099
30/11/2011;9.470148016
31/12/2011;9.468012794
31/01/2012;9.462071214
29/02/2012;9.453522108
31/03/2012;9.443940157
30/04/2012;9.425284545
31/05/2012;9.40760708
30/06/2012;9.390806455
31/07/2012;9.382483177
31/08/2012;9.382769606
30/09/2012;9.382445051
31/10/2012;9.360654053
30/11/2012;9.361947387
31/12/2012;9.368403384
31/01/2013;9.376370238
28/02/2013;9.344453821
31/03/2013;9.281783938
30/04/2013;9.292589559
31/05/2013;9.308854715
30/06/2013;9.318879478
31/07/2013;9.323386801
31/08/2013;9.348351289
30/09/2013;9.355903733
31/10/2013;9.3516257
30/11/2013;9.370155211
31/12/2013;9.358597456
31/01/2014;9.375491036
28/02/2014;9.383517085
31/03/2014;9.380976391
30/04/2014;9.40688761
31/05/2014;9.396642239
30/06/2014;9.377973097
31/07/2014;9.371916559
31/08/2014;9.396006814
30/09/2014;9.414147082
31/10/2014;9.403857759
30/11/2014;9.405653158
31/12/2014;9.385174489
31/01/2015;9.418769858
28/02/2015;9.412595886
31/03/2015;9.394701784
30/04/2015;9.395849062
31/05/2015;9.390410147
30/06/2015;9.39031148
31/07/2015;9.389918347
31/08/2015;9.399516816
30/09/2015;9.405400485
31/10/2015;9.394151066
30/11/2015;9.386407797
31/12/2015;9.395900191
31/01/2016;9.37515431
29/02/2016;9.346456447
31/03/2016;9.342593624
30/04/2016;9.353977634
31/05/2016;9.34571547
30/06/2016;9.350751928
31/07/2016;9.332396266
