DATA_OSS;BMPS_CC_IMP_ENTI;BMPS_CC_IMP_KC; BMPS_CC_IMP_PF ;BMPS_CC_IMP_PMI;BMPS_CC_IMP_PRIVATE;BMPS_CC_IMP_SB
29-feb-08;11.81;14.38;8.18;11.92;11.1;10.15
31-mar-08;11.95;14.28;8.21;11.92;11.16;10.16
30-apr-08;11.78;14.44;8.1;11.86;10.99;10.12
31-mag-08;12.08;14.57;8.17;11.94;11.16;10.16
30-giu-08;11.95;14.53;8.16;11.94;11.21;10.16
31-lug-08;11.69;13.95;8.03;11.83;10.92;10.08
31-ago-08;11.87;14.09;8.17;11.91;11.27;10.12
30-set-08;12.06;14.13;8.02;11.97;11.31;9.94
31-ott-08;11.83;14.08;7.9;11.99;11.1;9.89
30-nov-08;12.04;14.33;8.04;12;11.37;9.96
31-dic-08;12.01;14.3;8.01;11.97;11.33;9.93
31-gen-09;12.1;14.28;8.01;11.94;11.25;10.01
28-feb-09;12.29;14.25;8.07;12.01;11.3;10.06
31-mar-09;12.24;14.3;7.99;11.96;11.14;10.01
30-apr-09;11.96;14.29;7.92;11.86;10.97;9.95
31-mag-09;12.12;14.29;8;11.91;11.12;9.97
30-giu-09;12.09;14.33;8.01;11.9;11.15;9.98
31-lug-09;11.83;14.32;7.84;11.85;10.96;9.93
31-ago-09;12.01;14.25;7.95;11.88;11.07;9.96
30-set-09;12.07;14.54;7.98;11.89;11.16;10
31-ott-09;12.54;13.94;7.66;11.6;10.51;9.78
30-nov-09;12.59;13.85;7.64;11.72;10.52;9.83
31-dic-09;12.41;14.25;8.01;11.82;11.11;9.97
31-gen-10;12.06;14.15;7.97;11.77;11.11;9.97
28-feb-10;12.18;14.25;8.01;11.8;11.08;10
31-mar-10;12.32;14.35;8.01;11.83;10.89;10.01
30-apr-10;12.1;14.19;7.85;11.75;11.04;9.95
31-mag-10;12.13;14.33;7.92;11.77;11.11;9.95
30-giu-10;12.13;14.37;7.93;11.79;11.06;9.97
31-lug-10;11.92;14.22;7.82;11.73;10.95;9.92
31-ago-10;12;14.4;7.9;11.77;11.06;9.93
30-set-10;12.11;14.49;8.03;11.8;11.26;9.99
31-ott-10;11.92;14.19;7.85;11.75;11.14;9.93
30-nov-10;12.11;14.4;8;11.82;11.3;9.99
31-dic-10;12.03;14.33;8.04;11.84;11.33;9.99
31-gen-11;11.95;14.31;7.94;11.84;11.29;9.98
28-feb-11;12.2;14.35;7.99;11.85;11.32;10
31-mar-11;12.26;14.06;8.05;11.88;11.38;10.02
30-apr-11;11.99;14.22;7.89;11.82;11.34;9.97
31-mag-11;12.03;14.28;7.98;11.84;11.4;9.99
30-giu-11;12.04;14.21;8.02;11.87;11.43;10.01
31-lug-11;11.84;14.13;7.81;11.81;11.27;9.93
31-ago-11;11.93;14.32;7.97;11.87;11.48;9.98
30-set-11;11.99;14.34;8.03;11.9;11.51;10.02
31-ott-11;11.84;14.21;7.83;11.85;11.35;9.96
30-nov-11;11.99;14.39;7.99;11.92;11.48;10.01
31-dic-11;11.91;14.46;8.01;11.89;11.35;10.01
31-gen-12;11.82;14.28;7.91;11.87;11.22;9.98
29-feb-12;12.02;14.45;8.01;11.9;11.22;10.02
31-mar-12;12.09;14.47;8.04;11.9;11.33;10.03
30-apr-12;11.86;14.42;7.89;11.88;11.32;9.98
31-mag-12;12;14.53;7.99;11.92;11.36;10.01
30-giu-12;12.07;14.5;8.03;11.93;11.4;10.02
31-lug-12;11.86;14.4;7.75;11.86;11.13;9.93
31-ago-12;12.04;14.59;7.97;11.93;11.36;10
30-set-12;12.11;14.51;8.04;11.94;11.45;10.03
31-ott-12;11.93;14.28;7.8;11.89;11.33;9.95
30-nov-12;12.13;14.45;8.03;11.96;11.57;10.04
31-dic-12;12.21;14.47;8.1;11.98;11.55;10.05
31-gen-13;12.1;14.21;8;11.94;11.37;10.01
28-feb-13;12.18;14.37;8.1;11.98;11.5;10.05
31-mar-13;11.95;14.02;7.46;11.85;10.89;9.88
30-apr-13;12.09;14.39;7.99;11.95;11.42;10
31-mag-13;12.06;14.51;8.09;11.99;11.53;10.03
30-giu-13;11.81;14.35;8.08;11.88;11.42;9.95
31-lug-13;11.81;14.2;7.85;11.94;11.28;9.96
31-ago-13;12.03;14.36;8.04;12;11.27;10.04
30-set-13;12.13;14.43;8.1;12.02;11.45;10.06
31-ott-13;11.83;14.27;7.86;11.93;11.01;9.95
30-nov-13;11.78;14.47;8.01;11.91;11.22;9.97
31-dic-13;11.85;14.5;8.1;11.99;11.31;10.08
31-gen-14;11.8;14.46;8.02;11.92;11.11;10.06
28-feb-14;12.03;14.6;8.09;11.99;11.27;10.11
31-mar-14;12.05;14.62;8.05;11.99;11.29;10.09
30-apr-14;11.81;14.49;7.97;11.94;11.29;10.04
31-mag-14;11.84;14.54;8.02;11.97;11.31;10.06
30-giu-14;11.86;14.71;8.05;11.98;11.3;10.07
31-lug-14;11.66;14.4;7.91;11.9;11.16;9.99
31-ago-14;11.77;14.4;8.02;11.96;11.35;10.01
30-set-14;11.81;14.58;8.05;11.97;11.36;10.05
31-ott-14;11.68;14.23;7.9;11.89;11.29;9.97
30-nov-14;11.81;14.29;8.01;11.98;11.44;10.03
31-dic-14;12.08;14.46;8.01;11.96;11.42;10.02
31-gen-15;11.9;14.2;7.95;11.94;11.33;9.99
28-feb-15;12.06;14.38;8;11.98;11.42;10.01
31-mar-15;12.15;14.39;8.02;11.95;11.49;10.01
30-apr-15;12.07;14.06;7.91;11.94;11.44;9.96
31-mag-15;12.12;14.33;7.96;11.94;11.52;9.98
30-giu-15;12.08;14.42;7.97;11.99;11.5;9.98
31-lug-15;11.89;14.17;7.84;11.88;11.4;9.9
31-ago-15;12;14.38;7.95;11.99;11.56;9.98
30-set-15;12.07;14.39;7.98;11.99;11.6;9.98
31-ott-15;12.08;14.18;7.83;11.89;11.47;9.9
30-nov-15;12.29;14.38;7.93;11.99;11.58;9.95
31-dic-15;12.3;14.41;7.94;11.96;11.6;9.97
31-gen-16;12.25;14.21;7.91;11.95;11.51;9.94
29-feb-16;12.33;14.33;7.95;11.96;11.58;9.97
31-mar-16;12.4;14.4;7.96;11.96;11.68;9.97
30-apr-16;12.07;14.2;7.88;11.93;11.65;9.91
31-mag-16;12.07;14.39;7.9;11.99;11.67;9.93
30-giu-16;12.11;14.41;7.93;12.01;11.7;9.94
31-lug-16;11.9;14.04;7.81;11.91;11.53;9.85
