"vect_actual_core","mpa","mpa_orig","correzione","vect_vol","vect_hp"
1306239353.4546,1207366352.34986,1212166501.27487,-4800148.92501473,0.0321289139793773,120
1306239353.4546,1165613020.29928,1175213318.14931,-9600297.85002923,0.0321289139793773,120
1306239353.4546,1133223371.18628,1147623817.96132,-14400446.7750437,0.0321289139793773,120
1306239353.4546,1105667999.72772,1124868595.42778,-19200595.7000585,0.0321289139793773,120
1306239353.4546,1081194253.92082,1105194998.54589,-24000744.625073,0.0321289139793773,120
1306239353.4546,1058904135.98004,1087705029.53013,-28800893.5500878,0.0321289139793773,120
1306239353.4546,1038264700.1131,1071865742.58821,-33601042.4751022,0.0321289139793773,120
1306239353.4546,1018929028.74893,1057330220.14905,-38401191.4001169,0.0321289139793773,120
1306239353.4546,1000656376.95123,1043857717.27636,-43201340.3251315,0.0321289139793773,120
1306239353.4546,983271622.591004,1031273111.84115,-48001489.2501463,0.0321289139793773,120
1306239353.4546,966642684.954073,1019444323.12923,-52801638.1751606,0.0321289139793773,120
1306239353.4546,950667045.154003,1008268832.25418,-57601787.1001754,0.0321289139793773,120
1306239353.4546,935263250.34981,997665186.375,-62401936.02519,0.0321289139793773,120
1306239353.4546,920365319.551817,987567404.502021,-67202084.9502046,0.0321289139793773,120
1306239353.4546,905918924.813597,977921158.688816,-72002233.8752191,0.0321289139793773,120
1306239353.4546,891878704.347582,968681087.147815,-76802382.8002338,0.0321289139793773,120
1306239353.4546,878206322.765254,959808854.490502,-81602531.7252485,0.0321289139793773,120
1306239353.4546,864869039.279657,951271719.92992,-86402680.6502631,0.0321289139793773,120
1306239353.4546,851838630.22734,943041459.802618,-91202829.5752776,0.0321289139793773,120
1306239353.4546,839090564.333559,935093542.833851,-96002978.5002923,0.0321289139793773,120
1306239353.4546,826603361.857425,927406489.282732,-100803127.425307,0.0321289139793773,120
1306239353.4546,814358089.882454,919961366.232776,-105603276.350322,0.0321289139793773,120
1306239353.4546,802337960.002929,912741385.278265,-110403425.275336,0.0321289139793773,120
1306239353.4546,790528004.117352,905731578.317703,-115203574.200351,0.0321289139793773,120
1306239353.4546,778914810.567332,898918533.692698,-120003723.125365,0.0321289139793773,120
1306239353.4546,767486307.443682,892290179.494062,-124803872.05038,0.0321289139793773,120
1306239353.4546,756231583.152392,885835604.127786,-129604020.975394,0.0321289139793773,120
1306239353.4546,745140736.701654,879544906.602063,-134404169.900409,0.0321289139793773,120
1306239353.4546,734204751.909536,873409070.73496,-139204318.825424,0.0321289139793773,120
1306239353.4546,723415391.02363,867419858.774068,-144004467.750438,0.0321289139793773,120
1306239353.4546,712765104.214816,861569720.890269,-148804616.675453,0.0321289139793773,120
1306239353.4546,702246952.144688,855851717.745155,-153604765.600468,0.0321289139793773,120
1306239353.4546,691854539.371738,850259453.89722,-158404914.525482,0.0321289139793773,120
1306239353.4546,681581956.799163,844787020.24966,-163205063.450497,0.0321289139793773,120
1306239353.4546,671423731.708922,839428944.084433,-168005212.375512,0.0321289139793773,120
1306239353.4546,661374784.195517,834180145.496043,-172805361.300526,0.0321289139793773,120
1306239353.4546,651430389.026206,829035899.251747,-177605510.225541,0.0321289139793773,120
1306239353.4546,641586142.124445,823991801.275,-182405659.150555,0.0321289139793773,120
1306239353.4546,631837931.010192,819043739.085762,-187205808.07557,0.0321289139793773,120
1306239353.4546,622181908.641218,814187865.641802,-192005957.000584,0.0321289139793773,120
1306239353.4546,612614470.18953,809420576.115129,-196806105.925599,0.0321289139793773,120
1306239353.4546,603132232.360581,804738487.211195,-201606254.850614,0.0321289139793773,120
1306239353.4546,593732014.923399,800138418.699028,-206406403.775628,0.0321289139793773,120
1306239353.4546,584410824.169747,795617376.87039,-211206552.700643,0.0321289139793773,120
1306239353.4546,575165838.061919,791172539.687577,-216006701.625658,0.0321289139793773,120
1306239353.4546,565994392.863385,786801243.414057,-220806850.550672,0.0321289139793773,120
1306239353.4546,556893971.075462,782500970.551149,-225606999.475687,0.0321289139793773,120
1306239353.4546,547862190.527571,778269338.928272,-230407148.400701,0.0321289139793773,120
1306239353.4546,538896794.48922,774104091.814936,-235207297.325716,0.0321289139793773,120
1306239353.4546,529995642.689299,770003088.94003,-240007446.250731,0.0321289139793773,120
1306239353.4546,521156703.143075,765964298.31882,-244807595.175745,0.0321289139793773,120
1306239353.4546,512378044.699974,761985788.800734,-249607744.10076,0.0321289139793773,120
1306239353.4546,503657830.236048,758065723.261822,-254407893.025774,0.0321289139793773,120
1306239353.4546,494994310.424338,754202352.375128,-259208041.950789,0.0321289139793773,120
1306239353.4546,486385818.024374,750394008.900177,-264008190.875804,0.0321289139793773,120
1306239353.4546,477830762.638961,746639102.439779,-268808339.800818,0.0321289139793773,120
1306239353.4546,469327625.892437,742936114.61827,-273608488.725833,0.0321289139793773,120
1306239353.4546,460874956.98977,739283594.640617,-278408637.650848,0.0321289139793773,120
1306239353.4546,452471368.620417,735680155.196279,-283208786.575862,0.0321289139793773,120
1306239353.4546,444115533.174851,732124468.675728,-288008935.500877,0.0321289139793773,120
1306239353.4546,435806179.245113,728615263.671005,-292809084.425891,0.0321289139793773,120
1306239353.4546,427542088.383788,725151321.734695,-297609233.350906,0.0321289139793773,120
1306239353.4546,419322092.098512,721731474.374433,-302409382.275921,0.0321289139793773,120
1306239353.4546,411145069.061449,718354600.262384,-307209531.200935,0.0321289139793773,120
1306239353.4546,403009942.515268,715019622.641218,-312009680.12595,0.0321289139793773,120
1306239353.4546,394915677.859014,711725506.909979,-316809829.050964,0.0321289139793773,120
1306239353.4546,386861280.398863,708471258.374842,-321609977.975979,0.0321289139793773,120
1306239353.4546,378845793.250234,705255920.151228,-326410126.900994,0.0321289139793773,120
1306239353.4546,370868295.379036,702078571.205044,-331210275.826008,0.0321289139793773,120
1306239353.4546,362927899.77092,698938324.521943,-336010424.751023,0.0321289139793773,120
1306239353.4546,355023751.718513,695834325.394551,-340810573.676038,0.0321289139793773,120
1306239353.4546,347155027.217463,692765749.818516,-345610722.601052,0.0321289139793773,120
1306239353.4546,339320931.463004,689731802.989071,-350410871.526067,0.0321289139793773,120
1306239353.4546,331520697.439439,686731717.89052,-355211020.451081,0.0321289139793773,120
1306239353.4546,323753584.595651,683764753.971747,-360011169.376096,0.0321289139793773,120
1306239353.4546,316018877.60032,680830195.90143,-364811318.301111,0.0321289139793773,120
1306239353.4546,308315885.17107,677927352.397195,-369611467.226125,0.0321289139793773,120
1306239353.4546,300643938.972268,675055555.123408,-374411616.15114,0.0321289139793773,120
1306239353.4546,293002392.576621,672214157.652775,-379211765.076154,0.0321289139793773,120
1306239353.4546,285390620.486133,669402534.487302,-384011914.001169,0.0321289139793773,120
1306239353.4546,277808017.208331,666620080.134515,-388812062.926184,0.0321289139793773,120
1306239353.4546,270253996.384004,663866208.235202,-393612211.851198,0.0321289139793773,120
1306239353.4546,262727989.962989,661140350.739202,-398412360.776213,0.0321289139793773,120
1306239353.4546,255229447.42483,658441957.126057,-403212509.701228,0.0321289139793773,120
1306239353.4546,247757835.04135,655770493.667592,-408012658.626242,0.0321289139793773,120
1306239353.4546,240312635.178434,653125442.729691,-412812807.551257,0.0321289139793773,120
1306239353.4546,232893345.634503,650506302.110774,-417612956.476271,0.0321289139793773,120
1306239353.4546,225499479.013352,647912584.414638,-422413105.401286,0.0321289139793773,120
1306239353.4546,218130562.129215,645343816.455516,-427213254.326301,0.0321289139793773,120
1306239353.4546,210786135.442042,642799538.693357,-432013403.251315,0.0321289139793773,120
1306239353.4546,203465752.521156,640279304.697486,-436813552.17633,0.0321289139793773,120
1306239353.4546,196168979.535555,637782680.6369,-441613701.101344,0.0321289139793773,120
1306239353.4546,188895394.769278,635309244.795637,-446413850.026359,0.0321289139793773,120
1306239353.4546,181644588.160334,632858587.111708,-451213998.951374,0.0321289139793773,120
1306239353.4546,174416160.861825,630430308.738213,-456014147.876388,0.0321289139793773,120
1306239353.4546,167209724.823965,628024021.625368,-460814296.801403,0.0321289139793773,120
1306239353.4546,160024902.395808,625639348.122225,-465614445.726417,0.0321289139793773,120
1306239353.4546,152861325.945542,623275920.596974,-470414594.651432,0.0321289139793773,120
1306239353.4546,145718637.498328,620933381.074775,-475214743.576447,0.0321289139793773,120
1306239353.4546,138596488.390697,618611380.892159,-480014892.501461,0.0321289139793773,120
1306239353.4546,131494538.940583,616309580.367059,-484815041.426476,0.0321289139793773,120
1306239353.4546,124412458.132154,614027648.483645,-489615190.351491,0.0321289139793773,120
1306239353.4546,117349923.31463,611765262.591135,-494415339.276505,0.0321289139793773,120
1306239353.4546,110306619.91434,609522108.11586,-499215488.20152,0.0321289139793773,120
1306239353.4546,103282241.15932,607297878.285854,-504015637.126534,0.0321289139793773,120
1306239353.4546,96276487.8157896,605092273.867339,-508815786.051549,0.0321289139793773,120
1306239353.4546,89289067.9358869,602905002.912451,-513615934.976564,0.0321289139793773,120
1306239353.4546,82319696.6160878,600735780.517666,-518416083.901578,0.0321289139793773,120
1306239353.4546,75368095.7657544,598584328.592347,-523216232.826593,0.0321289139793773,120
1306239353.4546,68433993.8853095,596450375.636917,-528016381.751607,0.0321289139793773,120
1306239353.4546,61517125.8535457,594333656.530168,-532816530.676622,0.0321289139793773,120
1306239353.4546,54617232.7236204,592233912.325257,-537616679.601637,0.0321289139793773,120
1306239353.4546,47734061.5273049,590150890.053956,-542416828.526651,0.0321289139793773,120
1306239353.4546,40867365.087086,588084342.538752,-547216977.451666,0.0321289139793773,120
1306239353.4546,34016901.8357416,586034028.212422,-552017126.37668,0.0321289139793773,120
1306239353.4546,27182435.6430277,583999710.944723,-556817275.301695,0.0321289139793773,120
1306239353.4546,20363735.6491383,581981159.875848,-561617424.22671,0.0321289139793773,120
1306239353.4546,13560576.1046258,579978149.25635,-566417573.151724,0.0321289139793773,120
1306239353.4546,6772736.2164663,577990458.293205,-571217722.076739,0.0321289139793773,120
1306239353.4546,0,576017871.001754,-576017871.001754,0.0321289139793773,120
